2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Strix aluco;Tawny Owl;2894;LC;LC;Strix aluco;Strix aluco;;;N, H;;;;;;;;Non-migratory;;;;;;II;A;Yes;Strix aluco;Yes;Strix aluco;Yes;Strix aluco;
Strix uralensis;Ural Owl;2904;LC;LC;Strix uralensis;Strix uralensis;;;N, H;;I;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;Yes;Strix uralensis;Yes;Strix uralensis;Yes;Strix uralensis;
Strix nebulosa;Great Grey Owl;2905;LC;LC;Strix nebulosa;Strix nebulosa;;;N, H;;I;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;Yes;Strix nebulosa;Yes;Strix nebulosa;Yes;Strix nebulosa;
Bubo scandiacus;Snowy Owl;2909;LC;CR;Nyctea scandiaca;Nyctea scandiaca;Genus change;;N, H + W;Nyctea scandiaca;I;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;Yes;Bubo scandiacus;Yes;Bubo scandiacus;Yes;Bubo scandiacus;
Bubo bubo;Eurasian Eagle-owl;2912;LC;LC;Bubo bubo;Bubo bubo;;;N, H;;I;;;;;;Non-migratory;;;;;;II;A;Yes;Bubo bubo;Yes;Bubo bubo;Yes;Bubo bubo;
Pandion haliaetus;Osprey;2945;LC;LC;Pandion haliaetus;Pandion haliaetus;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Pandion haliaetus;Yes;Pandion haliaetus;Yes;Pandion haliaetus;
Elanus caeruleus;Black-winged Kite;2946;LC;LC;Elanus caeruleus;Elanus caeruleus;;;N, H;;I;;;;;;Non-migratory;;;;;;II;A;Yes;Elanus caeruleus;Yes;Elanus caeruleus;Yes;Elanus caeruleus;
Pernis apivorus;European Honey-buzzard;2957;LC;LC;Pernis apivorus;Pernis apivorus;;;N + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Pernis apivorus;Yes;Pernis apivorus;Yes;Pernis apivorus;
Gypaetus barbatus;Bearded Vulture;2974;NT;VU;Gypaetus barbatus;Gypaetus barbatus;;;N, H;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Gypaetus barbatus;Yes;Gypaetus barbatus;Yes;Gypaetus barbatus;
Neophron percnopterus;Egyptian Vulture;2975;EN;VU;Neophron percnopterus;Neophron percnopterus;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;II;A;Yes;Neophron percnopterus;Yes;Neophron percnopterus;Yes;Neophron percnopterus;
Circaetus gallicus;Short-toed Snake-eagle;2985;LC;LC;Circaetus gallicus;Circaetus gallicus;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Circaetus gallicus;Yes;Circaetus gallicus;Yes;Circaetus gallicus;
Gyps fulvus;Griffon Vulture;3001;LC;LC;Gyps fulvus;Gyps fulvus;;;N, H + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Gyps fulvus;Yes;Gyps fulvus;Yes;Gyps fulvus;
Aegypius monachus;Cinereous Vulture;3002;NT;LC;Aegypius monachus;Aegypius monachus;;;N, H;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Aegypius monachus;Yes;Aegypius monachus;Yes;Aegypius monachus;
Clanga pomarina;Lesser Spotted Eagle;3026;LC;LC;Aquila pomarina;Aquila pomarina;Genus change;;N + M;Aquila pomarina;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Clanga pomarina;Yes;Clanga pomarina;Yes;Clanga pomarina;
Clanga clanga;Greater Spotted Eagle;3028;VU;CR;Aquila clanga;Aquila clanga;Genus change;;N, h + W;Aquila clanga;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;II;A;Yes;Clanga clanga;Yes;Clanga clanga;Yes;Clanga clanga;
Aquila adalberti;Spanish Imperial Eagle;3031;VU;VU;Aquila adalberti;Aquila adalberti;;;N, H;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;I;A;Yes;Aquila adalberti;Yes;Aquila adalberti;Yes;Aquila adalberti;
Aquila heliaca;Eastern Imperial Eagle;3032;VU;NT°;Aquila heliaca;Aquila heliaca;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;I;A;Yes;Aquila heliaca;Yes;Aquila heliaca;Yes;Aquila heliaca;
Aquila chrysaetos;Golden Eagle;3034;LC;LC;Aquila chrysaetos;Aquila chrysaetos;;;N, H;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Aquila chrysaetos;Yes;Aquila chrysaetos;Yes;Aquila chrysaetos;
Aquila fasciata;Bonelli's Eagle;3037;LC;NT;Hieraaetus fasciatus;Hieraaetus fasciatus;Genus change;;N, H;Hieraaetus fasciatus;I;;;;;;Non-migratory;;;;;;II;A;Yes;Aquila fasciata;Yes;Aquila fasciata;Yes;Aquila fasciata;
Hieraaetus pennatus;Booted Eagle;3041;LC;LC;Hieraaetus pennatus;Hieraaetus pennatus;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Hieraaetus pennatus;Yes;Hieraaetus pennatus;Yes;Hieraaetus pennatus;
Circus aeruginosus;Western Marsh-harrier;3052;LC;LC;Circus aeruginosus;Circus aeruginosus;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Circus aeruginosus;Yes;Circus aeruginosus;Yes;Circus aeruginosus;
Circus cyaneus;Hen Harrier;3062;LC;LC;Circus cyaneus;Circus cyaneus;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Circus cyaneus;No;Circus cyaneus;No;Circus cyaneus;
Circus macrourus;Pallid Harrier;3065;NT;EN°;Circus macrourus;Circus macrourus;;;M (N);;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Circus macrourus;Yes;Circus macrourus;Yes;Circus macrourus;
Circus pygargus;Montagu's Harrier;3067;LC;LC;Circus pygargus;Circus pygargus;;;N + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Circus pygargus;Yes;Circus pygargus;Yes;Circus pygargus;
Accipiter brevipes;Levant Sparrowhawk;3076;LC;LC;Accipiter brevipes;Accipiter brevipes;;;N + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Accipiter brevipes;Yes;Accipiter brevipes;Yes;Accipiter brevipes;
Accipiter nisus;Eurasian Sparrowhawk;3104;LC;LC;Accipiter nisus;Accipiter nisus;;;N, H;;I *;;;;;* A. n. granti only;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Accipiter nisus;Yes;Accipiter nisus;Yes;Accipiter nisus;
Accipiter gentilis;Northern Goshawk;3112;LC;LC;Accipiter gentilis;Accipiter gentilis;;;N, H;;I *;;;;;* A. g. arrigonii only;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Accipiter gentilis;Yes;Accipiter gentilis;Yes;Accipiter gentilis;
Haliaeetus albicilla;White-tailed Sea-eagle;3125;LC;LC;Haliaeetus albicilla;Haliaeetus albicilla;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;I;A;Yes;Haliaeetus albicilla;Yes;Haliaeetus albicilla;Yes;Haliaeetus albicilla;
Milvus milvus;Red Kite;3132;NT;NT;Milvus milvus;Milvus milvus;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Milvus milvus;Yes;Milvus milvus;Yes;Milvus milvus;
Milvus migrans;Black Kite;3133;LC;LC;Milvus migrans;Milvus migrans;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Milvus migrans;Yes;Milvus migrans;Yes;Milvus migrans;
Buteo lagopus;Rough-legged Buzzard;3181;LC;EN;Buteo lagopus;Buteo lagopus;;;N, H + W;;;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Buteo lagopus;Yes;Buteo lagopus;Yes;Buteo lagopus;
Buteo buteo;Eurasian Buzzard;3186;LC;LC;Buteo buteo;Buteo buteo;;;N, H;;;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Buteo buteo;Yes;Buteo buteo;Yes;Buteo buteo;
Buteo rufinus;Long-legged Buzzard;3192;LC;LC;Buteo rufinus;Buteo rufinus;;;N + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Buteo rufinus;Yes;Buteo rufinus;Yes;Buteo rufinus;
Upupa epops;Common Hoopoe;3307;LC;LC;Upupa epops;Upupa epops;;;N, h + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Upupa epops;Yes;Upupa epops;Yes;Upupa epops;
Merops apiaster;European Bee-eater;3338;LC;LC;Merops apiaster;Merops apiaster;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Merops apiaster;Yes;Merops apiaster;Yes;Merops apiaster;
Coracias garrulus;European Roller;3356;LC;LC;Coracias garrulus;Coracias garrulus;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;I/II;;;AEMLAP;;;Yes;Coracias garrulus;Yes;Coracias garrulus;Yes;Coracias garrulus;
Alcedo atthis;Common Kingfisher;3424;LC;VU;Alcedo atthis;Alcedo atthis;;;N, H + M + W;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Alcedo atthis;Yes;Alcedo atthis;Yes;Alcedo atthis;
Ceryle rudis;Pied Kingfisher;3430;LC;NE;Ceryle rudis;Ceryle rudis;;;(N);;;;;;;;Non-migratory;;;;;;;;Yes;Ceryle rudis;Yes;Ceryle rudis;Yes;Ceryle rudis;
Jynx torquilla;Eurasian Wryneck;3736;LC;LC;Jynx torquilla;Jynx torquilla;;;N, h + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Jynx torquilla;Yes;Jynx torquilla;Yes;Jynx torquilla;
Picus canus;Grey-faced Woodpecker;3833;LC;LC;Picus canus;Picus canus;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Picus canus;Yes;Picus canus;Yes;Picus canus;
Picus viridis;Eurasian Green Woodpecker;3837;LC;LC;Picus viridis;Picus viridis;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Picus viridis;No;Picus viridis;No;Picus viridis;
Picus sharpei;Iberian Green Woodpecker;3838;NT;NT;Picus viridis;Picus viridis;Split;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Picus sharpei;No;Picus viridis;No;Picus viridis;
Dryocopus martius;Black Woodpecker;3893;LC;LC;Dryocopus martius;Dryocopus martius;;;N, H;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Dryocopus martius;Yes;Dryocopus martius;Yes;Dryocopus martius;
Picoides tridactylus;Three-toed Woodpecker;3922;LC;LC;Picoides tridactylus;Picoides tridactylus;;;N, H;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Picoides tridactylus;Yes;Picoides tridactylus;Yes;Picoides tridactylus;
Leiopicus medius;Middle Spotted Woodpecker;3951;LC;LC;Dendrocopos medius;Dendrocopos medius;Genus change;;N, H;Dendrocopos medius;I;;;;;;Non-migratory;;;;;;;;Yes;Dendrocoptes medius;Yes;Dendrocopos medius;Yes;Dendrocopos medius;
Dryobates minor;Lesser Spotted Woodpecker;3952;LC;LC;Dendrocopos minor;Dendrocopos minor;Genus change;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Dryobates minor;Yes;Dendrocopos minor;Yes;Dendrocopos minor;
Dendrocopos leucotos;White-backed Woodpecker;3983;LC;LC;Dendrocopos leucotos;Dendrocopos leucotos;Includes lilfordi;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Dendrocopos leucotos;Yes;Dendrocopos leucotos;Yes;Dendrocopos leucotos;
Dendrocopos syriacus;Syrian Woodpecker;3986;LC;LC;Dendrocopos syriacus;Dendrocopos syriacus;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Dendrocopos syriacus;Yes;Dendrocopos syriacus;Yes;Dendrocopos syriacus;
Dendrocopos major;Great Spotted Woodpecker;3988;LC;LC;Dendrocopos major;Dendrocopos major;;;N, H + W;;I *;;;;;* D. m. canariensis + D. m. thanneri only;Non-migratory;;;;;;;;Yes;Dendrocopos major;Yes;Dendrocopos major;Yes;Dendrocopos major;
Falco naumanni;Lesser Kestrel;4020;LC;LC;Falco naumanni;Falco naumanni;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;II;A;Yes;Falco naumanni;Yes;Falco naumanni;Yes;Falco naumanni;
Falco tinnunculus;Common Kestrel;4021;LC;LC;Falco tinnunculus;Falco tinnunculus;;;N, H;;;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Falco tinnunculus;Yes;Falco tinnunculus;Yes;Falco tinnunculus;
Falco vespertinus;Red-footed Falcon;4036;NT;VU;Falco vespertinus;Falco vespertinus;;;M + N;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;II;A;Yes;Falco vespertinus;Yes;Falco vespertinus;Yes;Falco vespertinus;
Falco eleonorae;Eleonora's Falcon;4038;LC;LC;Falco eleonorae;Falco eleonorae;;;N + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Falco eleonorae;Yes;Falco eleonorae;Yes;Falco eleonorae;
Falco columbarius;Merlin;4040;LC;LC;Falco columbarius;Falco columbarius;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Falco columbarius;Yes;Falco columbarius;Yes;Falco columbarius;
Falco subbuteo;Eurasian Hobby;4044;LC;LC;Falco subbuteo;Falco subbuteo;;;N + M;;;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Falco subbuteo;Yes;Falco subbuteo;Yes;Falco subbuteo;
Falco biarmicus;Lanner Falcon;4052;LC;VU;Falco biarmicus;Falco biarmicus;;;N, H + M;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;II;A;Yes;Falco biarmicus;Yes;Falco biarmicus;Yes;Falco biarmicus;
Falco cherrug;Saker Falcon;4054;EN;VU;Falco cherrug;Falco cherrug;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;I/II;;Raptors;;II;A;Yes;Falco cherrug;Yes;Falco cherrug;Yes;Falco cherrug;
Falco rusticolus;Gyrfalcon;4055;LC;VU;Falco rusticolus;Falco rusticolus;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;I;A;Yes;Falco rusticolus;Yes;Falco rusticolus;Yes;Falco rusticolus;
Falco peregrinus;Peregrine Falcon;4057;LC;LC;Falco peregrinus;Falco peregrinus;Includes pelegrinoides;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and Raptors MoU;II;;Raptors;;I;A;No;Falco peregrinus/pelegrinoides;Yes;Falco peregrinus;Yes;Falco peregrinus;
Oriolus oriolus;Eurasian Golden Oriole;6253;LC;LC;Oriolus oriolus;Oriolus oriolus;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Oriolus oriolus;Yes;Oriolus oriolus;Yes;Oriolus oriolus;
Lanius collurio;Red-backed Shrike;6862;LC;LC;Lanius collurio;Lanius collurio;;;N + M;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Lanius collurio;Yes;Lanius collurio;Yes;Lanius collurio;
Lanius minor;Lesser Grey Shrike;6872;LC;LC;Lanius minor;Lanius minor;;;N + M;;I;;;;;;Migratory;Listed by AEMLAP;II;;;AEMLAP;;;Yes;Lanius minor;Yes;Lanius minor;Yes;Lanius minor;
Lanius excubitor;Great Grey Shrike;6877;LC;NE;Lanius excubitor;Lanius excubitor;Includes elegans [and meridionalis];;N, H + W;;;;;;;;Migratory;Pre-split taxon listed by AEMLAP;[ II ];;;[AEMLAP];;;No;Lanius excubitor;No;Lanius excubitor;Yes;Lanius excubitor;
Lanius meridionalis;Iberian Grey Shrike;6878;LC;NE;Lanius excubitor;Lanius excubitor;;Split;N, H + W;;;;;;;;Migratory;Pre-split taxon listed by AEMLAP;;;;[AEMLAP];;;No;Lanius meridionalis;No;Lanius meridionalis;Yes;Lanius meridionalis;
Lanius senator;Woodchat Shrike;6885;LC;LC;Lanius senator;Lanius senator;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Lanius senator;Yes;Lanius senator;Yes;Lanius senator;
Lanius nubicus;Masked Shrike;6886;LC;LC;Lanius nubicus;Lanius nubicus;;;N + M;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Lanius nubicus;Yes;Lanius nubicus;Yes;Lanius nubicus;
Pyrrhocorax pyrrhocorax;Red-billed Chough;6899;LC;LC;Pyrrhocorax pyrrhocorax;Pyrrhocorax pyrrhocorax;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Pyrrhocorax pyrrhocorax;Yes;Pyrrhocorax pyrrhocorax;Yes;Pyrrhocorax pyrrhocorax;
Pyrrhocorax graculus;Yellow-billed Chough;6900;LC;LC;Pyrrhocorax graculus;Pyrrhocorax graculus;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Pyrrhocorax graculus;Yes;Pyrrhocorax graculus;Yes;Pyrrhocorax graculus;
Perisoreus infaustus;Siberian Jay;6912;LC;LC;Perisoreus infaustus;Perisoreus infaustus;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Perisoreus infaustus;Yes;Perisoreus infaustus;Yes;Perisoreus infaustus;
Cyanopica cooki;Iberian Azure-winged Magpie;6914;LC;LC;Cyanopica cyana;Cyanopica cyana;[Gender agreement (David & Gosselin 2002)];Split;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Cyanopica cooki;Yes;Cyanopica cooki;No;Cyanopica cyanus;
Garrulus glandarius;Eurasian Jay;6916;LC;LC;Garrulus glandarius;Garrulus glandarius;;;N, H + W;;;;II/B;;;;Migratory;Not listed by CMS or AEMLAP, but treated as migratory under key concepts of Article 7(4);;;;;;;Yes;Garrulus glandarius;Yes;Garrulus glandarius;Yes;Garrulus glandarius;
Pica pica;Eurasian Magpie;6927;LC;LC;Pica pica;Pica pica;;;N, H;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Pica pica;Yes;Pica pica;Yes;Pica pica;
Nucifraga caryocatactes;Northern Nutcracker;6933;LC;LC;Nucifraga caryocatactes;Nucifraga caryocatactes;;;N, H + W;;;;;;;;Non-migratory;;;;;;;;Yes;Nucifraga caryocatactes;Yes;Nucifraga caryocatactes;Yes;Nucifraga caryocatactes;
Corvus monedula;Eurasian Jackdaw;6937;LC;LC;Corvus monedula;Corvus monedula;;;N, H + W;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Coloeus monedula;Yes;Corvus monedula;Yes;Corvus monedula;
Corvus frugilegus;Rook;6947;LC;LC;Corvus frugilegus;Corvus frugilegus;;;N, H + W;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Corvus frugilegus;Yes;Corvus frugilegus;Yes;Corvus frugilegus;
Corvus corax;Common Raven;6950;LC;LC;Corvus corax;Corvus corax;;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Corvus corax;Yes;Corvus corax;Yes;Corvus corax;
Corvus corone;Carrion Crow;6958;LC;LC;Corvus corone;Corvus corone;Includes cornix;;N, H;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;No;Corvus corone/cornix;No;Corvus corone/cornix;Yes;Corvus corone;
Periparus ater;Coal Tit;7161;LC;LC;Parus ater;Parus ater;;Genus change;N, H + W;Parus ater;I *;;;;;* P. a. cypriotes only;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Periparus ater;Yes;Periparus ater;Yes;Periparus ater;
Lophophanes cristatus;Crested Tit;7170;LC;LC;Parus cristatus;Parus cristatus;;Genus change;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Lophophanes cristatus;Yes;Lophophanes cristatus;Yes;Lophophanes cristatus;
Poecile lugubris;Sombre Tit;7177;LC;LC;Parus lugubris;Parus lugubris;;Genus change;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Poecile lugubris;Yes;Poecile lugubris;Yes;Poecile lugubris;
Poecile palustris;Marsh Tit;7180;LC;LC;Parus palustris;Parus palustris;;Genus change;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Poecile palustris;Yes;Poecile palustris;Yes;Poecile palustris;
Poecile montanus;Willow Tit;7182;LC;VU;Parus montanus;Parus montanus;;Genus change;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Poecile montanus;Yes;Poecile montanus;Yes;Poecile montanus;
Poecile cinctus;Siberian Tit;7187;LC;VU;Parus cinctus;Parus cinctus;;Genus change;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Poecile cinctus;Yes;Poecile cinctus;Yes;Poecile cinctus;
Cyanistes caeruleus;Eurasian Blue Tit;7190;LC;[LC];Parus caeruleus;Parus caeruleus;[Includes degener, ombriosus, palmensis and teneriffae];Genus change;N, H + W;;;;;;;;Migratory;Pre-split taxon listed by AEMLAP;;;;[AEMLAP];;;Yes;Cyanistes caeruleus;Yes;Cyanistes caeruleus;Yes;Cyanistes caeruleus;
Cyanistes teneriffae;African Blue Tit;7191;LC;NE;Parus caeruleus;Parus caeruleus;;Split (includes degener, ombriosus and palmensis);N, H;;;;;;;;Non-migratory;;;;;[AEMLAP];;;Yes;Cyanistes teneriffae;Yes;Cyanistes teneriffae;Yes;Cyanistes teneriffae;
Parus major;Great Tit;7195;LC;LC;Parus major;Parus major;;;N, H + W;;;;;;;;Non-migratory;;;;;;;;Yes;Parus major;Yes;Parus major;Yes;Parus major;
Remiz pendulinus;Eurasian Penduline-tit;7215;LC;LC;Remiz pendulinus;Remiz pendulinus;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Remiz pendulinus;Yes;Remiz pendulinus;Yes;Remiz pendulinus;
Chersophilus duponti;Dupont's Lark;7282;NT;VU;Chersophilus duponti;Chersophilus duponti;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Chersophilus duponti;Yes;Chersophilus duponti;Yes;Chersophilus duponti;
Alaudala rufescens;Lesser Short-toed Lark;7286;LC;LC;Calandrella rufescens;Calandrella rufescens;;Genus change;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Alaudala rufescens;Yes;Alaudala rufescens;Yes;Alaudala rufescens;
Melanocorypha calandra;Calandra Lark;7289;LC;VU;Melanocorypha calandra;Melanocorypha calandra;;;N, H + W;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Melanocorypha calandra;Yes;Melanocorypha calandra;Yes;Melanocorypha calandra;
Calandrella brachydactyla;Greater Short-toed Lark;7297;LC;LC;Calandrella brachydactyla;Calandrella brachydactyla;;;N, h + M;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Calandrella brachydactyla;Yes;Calandrella brachydactyla;Yes;Calandrella brachydactyla;
Eremophila alpestris;Horned Lark;7300;LC;NT;Eremophila alpestris;Eremophila alpestris;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Eremophila alpestris;Yes;Eremophila alpestris;Yes;Eremophila alpestris;
Lullula arborea;Woodlark;7301;LC;LC;Lullula arborea;Lullula arborea;;;N, H + W;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Lullula arborea;Yes;Lullula arborea;Yes;Lullula arborea;
Alauda arvensis;Eurasian Skylark;7311;LC;LC;Alauda arvensis;Alauda arvensis;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Alauda arvensis;Yes;Alauda arvensis;Yes;Alauda arvensis;
Galerida theklae;Thekla's Lark;7315;LC;LC;Galerida theklae;Galerida theklae;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Galerida theklae;Yes;Galerida theklae;Yes;Galerida theklae;
Galerida cristata;Crested Lark;7316;LC;LC;Galerida cristata;Galerida cristata;;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Galerida cristata;Yes;Galerida cristata;Yes;Galerida cristata;
Panurus biarmicus;Bearded Reedling;7319;LC;LC;Panurus biarmicus;Panurus biarmicus;;;N, H;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Panurus biarmicus;Yes;Panurus biarmicus;Yes;Panurus biarmicus;
Cisticola juncidis;Zitting Cisticola;7453;LC;LC;Cisticola juncidis;Cisticola juncidis;;;N, H;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Cisticola juncidis;Yes;Cisticola juncidis;Yes;Cisticola juncidis;
Iduna caligata;Booted Warbler;7513;LC;LC°°;Hippolais caligata;Hippolais caligata;;Genus change;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Iduna caligata;Yes;Iduna caligata;Yes;Iduna caligata;
Iduna pallida;Olivaceous Warbler;7515;LC;LC;Hippolais pallida;Hippolais pallida;Includes elaeica;Genus change;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Iduna pallida;Yes;Iduna pallida;Yes;Iduna pallida;
Iduna opaca;Isabelline Warbler;7516;LC;LC;Hippolais pallida;Hippolais pallida;Split;Genus change;N;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Iduna opaca;Yes;Iduna opaca;Yes;Iduna opaca;
Hippolais olivetorum;Olive-tree Warbler;7520;LC;LC;Hippolais olivetorum;Hippolais olivetorum;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Hippolais olivetorum;Yes;Hippolais olivetorum;Yes;Hippolais olivetorum;
Hippolais polyglotta;Melodious Warbler;7521;LC;LC;Hippolais polyglotta;Hippolais polyglotta;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Hippolais polyglotta;Yes;Hippolais polyglotta;Yes;Hippolais polyglotta;
