2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Calidris temminckii;Temminck's Stint;2454;LC;LC;Calidris temminckii;Calidris temminckii;;;N, h + M;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Calidris temminckii;Yes;Calidris temminckii;Yes;Calidris temminckii;
Calidris alba;Sanderling;2458;LC;LC;Calidris alba;Calidris alba;;;M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Calidris alba;Yes;Calidris alba;Yes;Calidris alba;
Calidris alpina;Dunlin;2459;LC;LC;Calidris alpina;Calidris alpina;;;N, H + M + W;;I *;;;;;* C. a. schinzii only;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Calidris alpina;Yes;Calidris alpina;Yes;Calidris alpina;
Calidris maritima;Purple Sandpiper;2461;LC;NT;Calidris maritima;Calidris maritima;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Calidris maritima;Yes;Calidris maritima;Yes;Calidris maritima;
Calidris minuta;Little Stint;2463;LC;LC;Calidris minuta;Calidris minuta;;;M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Calidris minuta;Yes;Calidris minuta;Yes;Calidris minuta;
Scolopax rusticola;Eurasian Woodcock;2477;LC;LC;Scolopax rusticola;Scolopax rusticola;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Scolopax rusticola;Yes;Scolopax rusticola;Yes;Scolopax rusticola;
Gallinago media;Great Snipe;2500;NT;VU;Gallinago media;Gallinago media;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Gallinago media;Yes;Gallinago media;Yes;Gallinago media;
Gallinago gallinago;Common Snipe;2501;LC;LC;Gallinago gallinago;Gallinago gallinago;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Gallinago gallinago;Yes;Gallinago gallinago;Yes;Gallinago gallinago;
Lymnocryptes minimus;Jack Snipe;2507;LC;LC;Lymnocryptes minimus;Lymnocryptes minimus;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Lymnocryptes minimus;Yes;Lymnocryptes minimus;Yes;Lymnocryptes minimus;
Phalaropus lobatus;Red-necked Phalarope;2509;LC;LC;Phalaropus lobatus;Phalaropus lobatus;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Phalaropus lobatus;Yes;Phalaropus lobatus;Yes;Phalaropus lobatus;
Phalaropus fulicarius;Red Phalarope;2510;LC;NE;Phalaropus fulicarius;Phalaropus fulicarius;;;M;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Phalaropus fulicarius;Yes;Phalaropus fulicarius;Yes;Phalaropus fulicarius;
Xenus cinereus;Terek Sandpiper;2511;LC;CR;Xenus cinereus;Tringa cinerea;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Xenus cinereus;Yes;Xenus cinereus;Yes;Xenus cinereus;
Actitis hypoleucos;Common Sandpiper;2512;LC;NT;Actitis hypoleucos;Tringa hypoleucos;;;N, h + M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Actitis hypoleucos;Yes;Actitis hypoleucos;Yes;Actitis hypoleucos;
Tringa ochropus;Green Sandpiper;2514;LC;LC;Tringa ochropus;Tringa ochropus;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tringa ochropus;Yes;Tringa ochropus;Yes;Tringa ochropus;
Tringa erythropus;Spotted Redshank;2520;LC;NT;Tringa erythropus;Tringa erythropus;;;N, h + M + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tringa erythropus;Yes;Tringa erythropus;Yes;Tringa erythropus;
Tringa nebularia;Common Greenshank;2521;LC;LC;Tringa nebularia;Tringa nebularia;;;N, h + M + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tringa nebularia;Yes;Tringa nebularia;Yes;Tringa nebularia;
Tringa totanus;Common Redshank;2523;LC;VU;Tringa totanus;Tringa totanus;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tringa totanus;Yes;Tringa totanus;Yes;Tringa totanus;
Tringa glareola;Wood Sandpiper;2524;LC;LC;Tringa glareola;Tringa glareola;;;N, h + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tringa glareola;Yes;Tringa glareola;Yes;Tringa glareola;
Tringa stagnatilis;Marsh Sandpiper;2525;LC;EN;Tringa stagnatilis;Tringa stagnatilis;;;N + M;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tringa stagnatilis;Yes;Tringa stagnatilis;Yes;Tringa stagnatilis;
Turnix sylvaticus;Common Buttonquail;2527;LC;CR (PE);Turnix sylvatica;Turnix sylvatica;Gender agreement (David & Gosselin 2002);;Ex;Turnix sylvatica;I;;;;;;Non-migratory;;;;;;;;Yes;Turnix sylvaticus;Yes;Turnix sylvaticus;Yes;Turnix sylvaticus;
Cursorius cursor;Cream-coloured Courser;2550;LC;NT;Cursorius cursor;Cursorius cursor;;;N, H;;I;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Cursorius cursor;Yes;Cursorius cursor;Yes;Cursorius cursor;
Glareola pratincola;Collared Pratincole;2556;LC;LC;Glareola pratincola;Glareola pratincola;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Glareola pratincola;Yes;Glareola pratincola;Yes;Glareola pratincola;
Glareola nordmanni;Black-winged Pratincole;2558;NT;CR;Glareola nordmanni;Glareola nordmanni;;;(N);;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Glareola nordmanni;Yes;Glareola nordmanni;Yes;Glareola nordmanni;
Hydrocoloeus minutus;Little Gull;2574;LC;LC;Larus minutus;Larus minutus;Genus change;;N, h + M + W;Larus minutus;I;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Hydrocoloeus minutus;Yes;Hydrocoloeus minutus;Yes;Hydrocoloeus minutus;
Xema sabini;Sabine's Gull;2577;LC;NE;Larus sabini;Xema sabini;;;M;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Xema sabini;Yes;Xema sabini;Yes;Xema sabini;
Rissa tridactyla;Black-legged Kittiwake;2580;LC;EN;Rissa tridactyla;Rissa tridactyla;;;N, H + M + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Rissa tridactyla;Yes;Rissa tridactyla;Yes;Rissa tridactyla;
Larus genei;Slender-billed Gull;2582;LC;LC;Larus genei;Larus genei;;;N, h + M + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Chroicocephalus genei;Yes;Chroicocephalus genei;Yes;Chroicocephalus genei;
