"country","region","region_orig","regionhash","speciescode","speciesname","assessment_speciescode","assessment_speciesname","tax_group","presence","annex_II_priority","annex_II","annex_IV","annex_V","comments_annex_II","comments_annex_IV","comments_annex_V"
"SK","PAN","PAN","2be90e34f84aaeb43a386b8c2f9ffaff",1058,"Maculinea arion",1058,"Maculinea arion","Arthropods","1","N","N","Y","N","","",""
"AT","CON","CON","2c0d2a8db9803def2754716ecb8905f0",1902,"Cypripedium calceolus",1902,"Cypripedium calceolus","Vascular plants","1","N","Y","Y","N","","",""
"RO","ALP","ALP","2c1c1d3493f29e314aaa61f18ccf686e",1393,"Drepanocladus vernicosus",1393,"Drepanocladus vernicosus","Non-vascular plants","1","N","Y","N","N","","",""
"ES","MED","MED","2c54cd8e01c66dbfc69fc449c536dabe",1061,"Maculinea nausithous",1061,"Maculinea nausithous","Arthropods","1","N","Y","Y","N","","",""
"RO","CON","CON","2c6ad69b8248228e11db1852945f0918",2487,"Acipenser ruthenus",2487,"Acipenser ruthenus","Fish","1","N","N","N","Y-HTL","","",""
"BG","CON","CON","2c7b89935027edd6d3254d32998499f3",1281,"Elaphe longissima",1281,"Elaphe longissima","Reptiles","1","N","N","Y","N","","",""
"RO","ALP","ALP","2c81fa68ea9c8235fa44360ffc75b03c",1939,"Agrimonia pilosa",1939,"Agrimonia pilosa","Vascular plants","1","N","Y","Y","N","","",""
"PL","ALP","ALP","2c87e7bc9fb1b022964ce4fece98d398",1109,"Thymallus thymallus",1109,"Thymallus thymallus","Fish","1","N","N","N","Y","","",""
"SK","ALP","ALP","2c8a9a7124e664d35fffa380f8900def",2001,"Triturus montandoni",2001,"Triturus montandoni","Amphibians","1","N","Y","Y","N","","",""
"AT","ALP","ALP","2ca26862e342149e99b75a5cabb7666b",1323,"Myotis bechsteinii",1323,"Myotis bechsteinii","Mammals","1","N","Y","Y","N","","",""
"FR","MED","MED","2cc766575a83eb76bbbfe3c5fc4b8ba7",1034,"Hirudo medicinalis",1034,"Hirudo medicinalis","Other invertebrates","SR","N","N","N","Y","","",""
"RO","STE","STE","2cf0993f5c31fa74314890387ecccef7",1084,"Osmoderma eremita",1084,"Osmoderma eremita","Arthropods","1","Y","Y","Y","N","","",""
"CY","MED","MED","2d1b3668435bf91d106b465fe17d8ee2",1289,"Telescopus fallax",1289,"Telescopus fallax","Reptiles","1","N","N","Y","N","","",""
"CZ","PAN","PAN","2d48f00dc895a8be32f265ec93efceb1",1201,"Bufo viridis",1201,"Bufo viridis","Amphibians","1","N","N","Y","N","","",""
"SI","CON","CON","2d572d1e1be7a8f649cce5dfd67efb6d",1261,"Lacerta agilis",1261,"Lacerta agilis","Reptiles","1","N","N","Y","N","","",""
"PL","ALP","ALP","2d5d992578301c3cbba751a2feff1ab7",1130,"Aspius aspius",1130,"Aspius aspius","Fish","1","N","Y","N","Y","Annex II : except the Finnish populations","",""
"LU","CON","CON","2d8e9c235c7a959c491235b30542bf75",1762,"Arnica montana",1762,"Arnica montana","Vascular plants","1","N","N","N","Y","","",""
"PT","MAC","MAC","2da07664520e7e0826cc037de96740ff",1807,"Andryala crithmifolia",1807,"Andryala crithmifolia","Vascular plants","1","N","Y","Y","N","","",""
"RO","CON","CON","2db94b929cf18141486b535a31995717",2191,"Galium moldavicum",2191,"Galium moldavicum","Vascular plants","1","N","Y","Y","N","","",""
"BE","CON","CON","2dba6750c768b50ad51baae2aa7c30d8",1308,"Barbastella barbastellus",1308,"Barbastella barbastellus","Mammals","1","N","Y","Y","N","","",""
"BE","CON","CON","2dc64268687182f5a9422157b7165d29",1207,"Rana lessonae",1207,"Rana lessonae","Amphibians","1","N","N","Y","N","","",""
"ES","MED","MED","2e2702d508b5c96e448ed50f8b80f3e1",1125,"Rutilus lemmingii",1125,"Rutilus lemmingii","Fish","1","N","Y","N","N","","",""
"ES","MAC","MAC","2e36b646d6134277515407a69e8a24a4",1597,"Helianthemum bystropogophyllum",1597,"Helianthemum bystropogophyllum","Vascular plants","1","Y","Y","Y","N","","",""
"UK","ATL","ATL","2e4e5a8c2f6f3df063fceb651bdfddd5",1400,"Leucobryum glaucum",1400,"Leucobryum glaucum","Non-vascular plants","1","N","N","N","Y","","",""
"SI","ALP","ALP","2e515c1f8eab7e35191ea7728ab6a25a",1474,"Aquilegia bertolonii",1474,"Aquilegia bertolonii","Vascular plants","1","N","Y","Y","N","","",""
"RO","BLS","BLS","2e56bcfcebc3570dfb71014e1125af48",5040,"Acipenser gueldenstaedtii",5040,"Acipenser gueldenstaedtii","Fish","1","N","N","N","Y-HTL","","",""
"SI","CON","CON","2e5f0fd8245d8befa3fdc2ce80a2ea08",1458,"Moehringia tommasinii",1458,"Moehringia tommasinii","Vascular plants","1","N","Y","Y","N","","",""
"PT","MED","MED","51120226c3c3789da598853f313b6379",1542,"Dorycnium pentaphyllum ssp. transmontanum",1542,"Dorycnium pentaphyllum ssp. transmontanum","Vascular plants","1","N","N","N","Y","","",""
"FR","ALP","ALP","5123ff041647cb96e77db57b4105c0e2",1177,"Salamandra atra",1177,"Salamandra atra","Amphibians","1","N","N","Y","N","","",""
"RO","ALP","ALP","513178995ef3449a5717be37eab554dc",1381,"Dicranum viride",1381,"Dicranum viride","Non-vascular plants","1","N","Y","N","N","","",""
"BG","CON","CON","51553e50275c22657df8ba68f8766fa2",1093,"Austropotamobius torrentium",1093,"Austropotamobius torrentium","Arthropods","1","Y","Y","N","Y","","",""
"PT","MED","MED","517d39ce1a782f25390a2e54d6cb6c49",1094,"Macrothele calpeiana",1094,"Macrothele calpeiana","Arthropods","1","N","N","Y","N","","",""
"PT","MED","MED","5184ffe74ad438513bb7c8cdd5486695",1409,"Sphagnum spp.",1409,"Sphagnum spp.","Non-vascular plants","1","N","N","N","Y","","",""
"LT","BOR","BOR","518df1a3a5870ef3285ce864d251b367",1419,"Botrychium simplex",1419,"Botrychium simplex","Vascular plants","1","N","Y","Y","N","","",""
"CZ","CON","CON","51a0a8e4c48a627efb171ce6e0bbaaaf",1318,"Myotis dasycneme",1318,"Myotis dasycneme","Mammals","OCC","N","Y","Y","N","","",""
"AT","ALP","ALP","51b4f1725a3bd6b4c5765593bfeb8aaa",1329,"Plecotus austriacus",1329,"Plecotus austriacus","Mammals","1","N","N","Y-HTL","N","","",""
"RO","CON","CON","51c713b6514ca36fed704a7c10afee2d",1332,"Vespertilio murinus",1332,"Vespertilio murinus","Mammals","1","N","N","Y-HTL","N","","",""
"ES","MMAC","MMAC","51de18171776ebb21a68e060ab470085",2035,"Ziphius cavirostris",2035,"Ziphius cavirostris","Mammals","1","N","N","Y-HTL","N","","",""
"BG","BLS","BLS","51e9bbf3b9c5bf71350293c4acf6feb2",1281,"Elaphe longissima",1281,"Elaphe longissima","Reptiles","1","N","N","Y","N","","",""
"PT","MED","MED","521f7bdb1147676bea14c7a50badd0b5",1338,"Microtus cabrerae",1338,"Microtus cabrerae","Mammals","1","N","Y","Y","N","","",""
"AT","CON","CON","523545f8c1cf506424f2bce363359b4a",1059,"Maculinea teleius",1059,"Maculinea teleius","Arthropods","1","N","Y","Y","N","","",""
"FR","MED","MED","524f957c664f4721670ffde75bbef1f9",1245,"Lacerta bedriagae",1245,"Lacerta bedriagae","Reptiles","1","N","N","Y","N","","",""
"PL","CON","CON","525c06a8c0e5ee1c94e6c203e4ee1c55",1065,"Euphydryas aurinia",1065,"Euphydryas aurinia","Arthropods","1","N","Y","N","N","","",""
"PT","MAC","MAC","5271484c81c406b7bc61f3bdcad92fb8",1680,"Echium candicans",1680,"Echium candicans","Vascular plants","1","N","Y","Y","N","","",""
"BG","ALP","ALP","527d02c52f5f8991a961ea74a2645f49",1312,"Nyctalus noctula",1312,"Nyctalus noctula","Mammals","1","N","N","Y-HTL","N","","",""
"RO","CON","CON","527f9ff147ded2f14202950514624d59",1149,"Cobitis taenia",1149,"Cobitis taenia","Fish","1","N","Y","N","N","Annex II : except the Finnish populations","",""
"FR","MED","MED","52bc726230fa92dbad1d49983fb52dc8",1357,"Martes martes",1357,"Martes martes","Mammals","1","N","N","N","Y","","",""
"PT","MED","MED","52d16a140750a7d54cdb4cc74deadfff",1428,"Marsilea quadrifolia",1428,"Marsilea quadrifolia","Vascular plants","1","N","Y","Y","N","","",""
"AT","CON","CON","52e5a1516af113c0d36eeb0094c62e01",1052,"Hypodryas maturna",1052,"Hypodryas maturna","Arthropods","1","N","Y","Y","N","","",""
"IT","CON","CON","52ee51383ba1e8d07a8e5da362f94b29",1341,"Muscardinus avellanarius",1341,"Muscardinus avellanarius","Mammals","1","N","N","Y-HTL","N","","",""
"AT","ALP","ALP","5313d67cbf037f76ce6d2c9740883838",1308,"Barbastella barbastellus",1308,"Barbastella barbastellus","Mammals","1","N","Y","Y","N","","",""
"RO","CON","CON","5328083044d387ded43f63237590426e",4036,"Leptidea morsei",4036,"Leptidea morsei","Arthropods","1","N","Y","Y","N","","",""
"AT","CON","CON","5333b3658fca6b602e71d1e546433c83",1400,"Leucobryum glaucum",1400,"Leucobryum glaucum","Non-vascular plants","1","N","N","N","Y","","",""
"DE","CON","CON","533f9ba1c37ff95b86d43f68195ae1bc",1352,"Canis lupus",1352,"Canis lupus","Mammals","1","Y","Y","Y","N","Annex II : except the Estonian population ; Greek populations : only south of the 39th parallel ; Spanish populations : only those south of the Duero ; Latvian, Lithuanian and Finnish populations","Annex IV : except the Greek populations north of the 39th parallel ; Estonian populations, Spanish populations north of the Duero ; Bulgarian, Latvian, Lithuanian, Polish, Slovak populations and Finnish populations within the reindeer management area as defined in paragraph 2 of the Finnish Act No 848/90 of 14 September 1990 on reindeer management","Annex V : Spanish populations north of the Duero, Greek populations north of the 39th parallel, Finnish populations within the reindeer management area as defined in paragraph 2 of the Finnish Act No 848/90 of 14 September 1990 on reindeer management, Bulgarian, Latvian, Lithuanian, Estonian, Polish and Slovak populations"
"SK","ALP","ALP","53761e6231c7df48b615d6957f66ca26",1341,"Muscardinus avellanarius",1341,"Muscardinus avellanarius","Mammals","1","N","N","Y-HTL","N","","",""
"FR","CON","CON","537a7cc8681455b848a21df103c12953",1191,"Alytes obstetricans",1191,"Alytes obstetricans","Amphibians","1","N","N","Y","N","","",""
"SK","PAN","PAN","538ac4c94eac47f9463deaf0f69040e9",5085,"Barbus barbus",5085,"Barbus barbus","Fish","1","N","N","N","Y-HTL","","",""
"BG","BLS","BLS","539283752d505d3e6426d61f3d554253",5265,"Barbus bergi",5265,"Barbus bergi","Fish","LR","N","Y-CTC","N","Y-CTC","","",""
"ES","MED","MED","53ace1cd262a999ad69b0eea74fbd99e",1307,"Myotis blythii",1307,"Myotis blythii","Mammals","1","N","Y","Y","N","","",""
"AT","ALP","ALP","53c2bf8a2e719b33ad5581643de773e1",1337,"Castor fiber",1337,"Castor fiber","Mammals","1","N","Y","Y","N","Annex II : except the Estonian, Latvian, Lithuanian, Finnish and Swedish populations","Annex IV : except the Estonian, Latvian, Lithuanian, Polish, Finnish and Swedish, populations","Annex V : Finnish, Swedish, Latvian, Lithuanian, Estonian and Polish populations"
"ES","ALP","ALP","53c761e00eb358b619f2a879c8b72eda",1203,"Hyla arborea",1203,"Hyla arborea","Amphibians","1","N","N","Y","N","","",""
"IE","ATL","ATL","53ebac0e7aea777bbf115ca1c222c33d",1016,"Vertigo moulinsiana",1016,"Vertigo moulinsiana","Molluscs","1","N","Y","N","N","","",""
"LU","CON","CON","540597cbd67a8b7a29475addf3f5632d",1109,"Thymallus thymallus",1109,"Thymallus thymallus","Fish","1","N","N","N","Y","","",""
"RO","CON","CON","5417be455b1c680f693c86b864b2087f",1341,"Muscardinus avellanarius",1341,"Muscardinus avellanarius","Mammals","1","N","N","Y-HTL","N","","",""
"DK","CON","CON","541b75793b92724dc39c456a1e7437ce",1323,"Myotis bechsteinii",1323,"Myotis bechsteinii","Mammals","SR","N","Y","Y","N","","",""
"RO","PAN","PAN","5427b40f0e76329e647e8c4084044e62",4032,"Dioszeghyana schmidtii",4032,"Dioszeghyana schmidtii","Arthropods","1","N","Y","Y","N","","",""
"BE","ATL","ATL","547e6d544af95dc6ed4bd6eec178ae4f",1309,"Pipistrellus pipistrellus",1309,"Pipistrellus pipistrellus","Mammals","1","N","N","Y-HTL","N","","",""
"DE","CON","CON","547f73a021cad6e5535bc1b9dda1ba82",1130,"Aspius aspius",1130,"Aspius aspius","Fish","1","N","Y","N","Y","Annex II : except the Finnish populations","",""
"PT","MED","MED","548670ea31c618fd547abf60b1bf0046",1900,"Spiranthes aestivalis",1900,"Spiranthes aestivalis","Vascular plants","1","N","N","Y","N","","",""
"SI","ALP","ALP","548dd64ffd502774166f7b5cbd401698",1088,"Cerambyx cerdo",1088,"Cerambyx cerdo","Arthropods","1","N","Y","Y","N","","",""
"PT","MATL","MATL","54ae183c3406c289907459f735277517",2618,"Balaenoptera acutorostrata",2618,"Balaenoptera acutorostrata","Mammals","1","N","N","Y-HTL","N","","",""
"CY","MED","MED","54b4f231a8810a91c3f3e9cc856ef739",2298,"Tulipa cypria",2298,"Tulipa cypria","Vascular plants","1","N","Y","Y","N","","",""
"LV","BOR","BOR","54cc0d8e3c416335cc02b7a880ad13c0",4021,"Phryganophilus ruficollis",4021,"Phryganophilus ruficollis","Arthropods","1","Y","Y","Y","N","","",""
"LU","CON","CON","54cfe47053c136e69b755db657b7e85c",1318,"Myotis dasycneme",1318,"Myotis dasycneme","Mammals","OCC","N","Y","Y","N","","",""
"RO","PAN","PAN","54f828468fcbed2f0ad7d5fe557c4aaa",1157,"Gymnocephalus schraetzer",1157,"Gymnocephalus schraetzer","Fish","1","N","Y","N","Y","","",""
"IT","ALP","ALP","553b743cd610099771d5e66d4a0623d7",1522,"Saxifraga valdensis",1522,"Saxifraga valdensis","Vascular plants","1","N","N","Y","N","","",""
"RO","ALP","ALP","5553833752f3b0046e6e75708d3a5428",1413,"Lycopodium spp.",1413,"Lycopodium spp.","Vascular plants","1","N","N","N","Y","","",""
"PL","CON","CON","555f8a92debae05ffe366371e1d46fa3",1309,"Pipistrellus pipistrellus",1309,"Pipistrellus pipistrellus","Mammals","1","N","N","Y-HTL","N","","",""
"BG","CON","CON","556fbe6401d06137646085e72a19dc75",1159,"Zingel zingel",1159,"Zingel zingel","Fish","1","N","Y","N","Y","","",""
"CZ","CON","CON","557ac4b70a0c126abadb3609545aeab0",1193,"Bombina variegata",1193,"Bombina variegata","Amphibians","1","N","Y","Y","N","","",""
"BG","CON","CON","558bcec54a7c990f9514943be4b16024",1256,"Podarcis muralis",1256,"Podarcis muralis","Reptiles","1","N","N","Y","N","","",""
"IT","MED","MED","55b94df77d4ce3dfb4ab83d731194f61",1602,"Petagnia saniculifolia",1602,"Petagnia saniculifolia","Vascular plants","1","N","Y","Y","N","","",""
"FR","MED","MED","55c2fb0fbc7fec1a7f049683c2895dac",1581,"Kosteletzkya pentacarpos",1581,"Kosteletzkya pentacarpos","Vascular plants","1","N","Y","Y","N","","",""
"ES","ALP","ALP","55d5dd0b6e7d5584060cc24174984634",1202,"Bufo calamita",1202,"Bufo calamita","Amphibians","1","N","N","Y","N","","",""
"PT","MED","MED","55e784e1d7a7e264db633f19337879f5",1497,"Diplotaxis vicentina",1497,"Diplotaxis vicentina","Vascular plants","1","N","Y","Y","N","","",""
"CY","MED","MED","55e8203ecaedf630d620544dab098681",2283,"Chionodoxa lochiae",2283,"Chionodoxa lochiae","Vascular plants","1","Y","Y","Y","N","","",""
"BG","BLS","BLS","5601007eb89eef6bae072e5e8c3cb2a9",4045,"Coenagrion ornatum",4045,"Coenagrion ornatum","Arthropods","1","N","Y","N","N","","",""
"LV","BOR","BOR","561303fab81df52d162575706672c41a",1213,"Rana temporaria",1213,"Rana temporaria","Amphibians","1","N","N","N","Y","","",""
"ES","MED","MED","56198fdc0af836761b4e96ecf4d7c444",1760,"Carduus myriacanthus",1760,"Carduus myriacanthus","Vascular plants","1","Y","Y","Y","N","","",""
"BE","ATL","ATL","561f2b967aea94921c31903f3e098f38",1330,"Myotis mystacinus",1330,"Myotis mystacinus","Mammals","1","N","N","Y-HTL","N","","",""
"BG","CON","CON","562233cdb5cf9f0645c4879f1f7a8e0c",5004,"Myotis aurascens",5004,"Myotis aurascens","Mammals","1","N","N","Y-HTL","N","","",""
"PL","ALP","ALP","56294e0be7b7e6d9694de8461e41784e",1354,"Ursus arctos",1354,"Ursus arctos","Mammals","1","Y","Y","Y","N","Annex II : except the Estonian, Finnish, and Swedish populations","",""
"FI","BOR","BOR","5646ae07ba7c927f0a7513123dd7fe64",1923,"Mesosa myops",1923,"Mesosa myops","Arthropods","1","N","Y","N","N","","",""
"ES","MED","MED","564d8d0b543c5e74f58225897ffb3920",1499,"Jonopsidium savianum",1499,"Jonopsidium savianum","Vascular plants","1","N","Y","Y","N","","",""
"LU","CON","CON","569a81cbbf58fb401839b1132fe77484",1322,"Myotis nattereri",1322,"Myotis nattereri","Mammals","1","N","N","Y-HTL","N","","",""
"PL","ALP","ALP","56a6e0b4500b1652a20b888c188256f0",1762,"Arnica montana",1762,"Arnica montana","Vascular plants","1","N","N","N","Y","","",""
"BG","ALP","ALP","56c972be4e291c82b4eb9826c44261d4",1281,"Elaphe longissima",1281,"Elaphe longissima","Reptiles","1","N","N","Y","N","","",""
"BG","CON","CON","56cbc3dac4ee21a159c5792d0bc79d84",4039,"Nymphalis vaualbum",4039,"Nymphalis vaualbum","Arthropods","1","Y","Y","Y","N","","",""
"BE","ATL","ATL","56d0e673d181eb06e0acb73603675566",1400,"Leucobryum glaucum",1400,"Leucobryum glaucum","Non-vascular plants","1","N","N","N","Y","","",""
"SI","CON","CON","56e42406396761e153d84077db7e1698",1263,"Lacerta viridis",1263,"Lacerta viridis","Reptiles","1","N","N","Y","N","","",""
"AT","CON","CON","56e505b8b3dab949a9c108c52975d2da",1330,"Myotis mystacinus",1330,"Myotis mystacinus","Mammals","1","N","N","Y-HTL","N","","",""
"IT","ALP","ALP","571a64546058bf469ac2a46e5b6fdeea",1057,"Parnassius apollo",1057,"Parnassius apollo","Arthropods","1","N","N","Y","N","","",""
"SK","PAN","PAN","571d8e211c427240131e2c0368cb27a2",1203,"Hyla arborea",1203,"Hyla arborea","Amphibians","1","N","N","Y","N","","",""
"HU","PAN","PAN","5753c43f78c33c8eeb0b5b5f12ec8b11",2633,"Mustela eversmanii",2633,"Mustela eversmanii","Mammals","1","N","Y","Y","N","","",""
"FR","ALP","ALP","57579f6f38c13e5d94a0bca5aa94dc90",1331,"Nyctalus leisleri",1331,"Nyctalus leisleri","Mammals","1","N","N","Y-HTL","N","","",""
"IT","MED","MED","57a53fa969b8ba72d2ee06e2985c9281",1085,"Buprestis splendens",1085,"Buprestis splendens","Arthropods","1","N","Y","Y","N","","",""
"ES","ALP","ALP","57eeb13cb8ce452a5abd2b031d4bd624",1657,"Gentiana lutea",1657,"Gentiana lutea","Vascular plants","1","N","N","N","Y","","",""
"SK","ALP","ALP","57f36e624e6dfc2e805f8d1a8cc53303",1342,"Dryomys nitedula",1342,"Dryomys nitedula","Mammals","1","N","N","Y-HTL","N","","",""
"SK","PAN","PAN","57f9f95788a4edd65e2c95c6d132e1de",5365,"Hypsugo savii",5365,"Hypsugo savii","Mammals","OCC","N","N","Y-HTL","N","","",""
"DE","CON","CON","5828adf247df0ca8cd185557e9234db0",6182,"Sympecma paedisca",1039,"Sympecma braueri","Arthropods","1","N","N","Y-CTC","N","","",""
"ES","ALP","ALP","582dbc95e9dbf34c217cfe3cf5b93782",1413,"Lycopodium spp.",1413,"Lycopodium spp.","Vascular plants","1","N","N","N","Y","","",""
"FR","MATL","MATL","58405c9eb67107673e0f379c7d5a92bf",2621,"Balaenoptera physalus",2621,"Balaenoptera physalus","Mammals","1","N","N","Y-HTL","N","","",""
"ES","MED","MED","5841b6b1ad05fab16bc2f5ff72bb8c1b",1007,"Elona quimperiana",1007,"Elona quimperiana","Molluscs","1","N","Y","Y","N","","",""
"SK","PAN","PAN","587f4902df37781f5d76adbfe46073ba",1305,"Rhinolophus euryale",1305,"Rhinolophus euryale","Mammals","1","N","Y","Y","N","","",""
"DE","CON","CON","589699e6728b5d3f16775bcf8aae36c5",1197,"Pelobates fuscus",1197,"Pelobates fuscus","Amphibians","1","N","N","Y","N","","",""
"ES","MAC","MAC","58a77c1d2911df6764f3113d487ea271",1510,"Crambe laevigata",1510,"Crambe laevigata","Vascular plants","1","N","Y","Y","N","","",""
"IT","CON","CON","58ab6720afed2e6269945dfead884731",1312,"Nyctalus noctula",1312,"Nyctalus noctula","Mammals","1","N","N","Y-HTL","N","","",""
"BG","BLS","BLS","5954bc20ecf548a3502c39c51f916201",1076,"Proserpinus proserpina",1076,"Proserpinus proserpina","Arthropods","1","N","N","Y","N","","",""
"BG","ALP","ALP","5961f1adc0ff6dd66580c80071d0c424",1409,"Sphagnum spp.",1409,"Sphagnum spp.","Non-vascular plants","1","N","N","N","Y","","",""
"PT","ATL","ATL","59658086385c8cb42895063e5e9eee37",1837,"Scilla beirana",1837,"Scilla beirana","Vascular plants","1","N","N","Y","N","","",""
"SK","PAN","PAN","597290b96f57db6e04322ede48693f0d",1016,"Vertigo moulinsiana",1016,"Vertigo moulinsiana","Molluscs","1","N","Y","N","N","","",""
"DE","CON","CON","5973311e1e5343449296d4cd4e8e5f92",1042,"Leucorrhinia pectoralis",1042,"Leucorrhinia pectoralis","Arthropods","1","N","Y","Y","N","","",""
"IT","CON","CON","598aa447f37c807b31429dbca81a3724",1898,"Eleocharis carniolica",1898,"Eleocharis carniolica","Vascular plants","1","N","Y","Y","N","","",""
"SI","CON","CON","599fa69961bfb70062bbd5d72bddc0a7",4019,"Leptodirus hochenwarti",4019,"Leptodirus hochenwarti","Arthropods","1","N","Y","Y","N","","",""
"LV","BOR","BOR","59a310c62b29f55ef8e59f3ecb996cf5",1091,"Astacus astacus",1091,"Astacus astacus","Arthropods","1","N","N","N","Y","","",""
"PL","CON","CON","59aed10c8a3803628533a20673d96adb",4009,"Phoxinus percnurus",4009,"Phoxinus percnurus","Fish","1","Y","Y","Y","N","","",""
"FR","MED","MED","59e000594a10c9fb7dfe8f9c67335509",1032,"Unio crassus",1032,"Unio crassus","Molluscs","1","N","Y","Y","N","","",""
"RO","CON","CON","59eadae334422857bff781487090259e",1305,"Rhinolophus euryale",1305,"Rhinolophus euryale","Mammals","1","N","Y","Y","N","","",""
"IT","ALP","ALP","59ef297e52a967fe2393d90ae64be723",4071,"Campanula zoysii",4071,"Campanula zoysii","Vascular plants","1","N","Y","Y","N","","",""
"SK","ALP","ALP","59f69b7f6018bbcb56ff76373cd4774c",4090,"Cochlearia tatrae",4090,"Cochlearia tatrae","Vascular plants","1","Y","Y","Y","N","","",""
"SK","ALP","ALP","5a177aa294a7b56f3e83291814a988cb",2159,"Daphne arbuscula",2159,"Daphne arbuscula","Vascular plants","1","Y","Y","Y","N","","",""
"PL","CON","CON","5a1fb8e6e3d3031b10660a0610cd9a37",1197,"Pelobates fuscus",1197,"Pelobates fuscus","Amphibians","1","N","N","Y","N","","",""
"ES","ALP","ALP","5a49912f8577e76c2b16715976572d59",1331,"Nyctalus leisleri",1331,"Nyctalus leisleri","Mammals","1","N","N","Y-HTL","N","","",""
"AT","ALP","ALP","2e9b02fab67d35a056c3ee91f65afdee",1083,"Lucanus cervus",1083,"Lucanus cervus","Arthropods","1","N","Y","N","N","","",""
"RO","STE","STE","2eaca32e4355323451bb16d141271a7c",1292,"Natrix tessellata",1292,"Natrix tessellata","Reptiles","1","N","N","Y","N","","",""
"LV","BOR","BOR","2ec986ad54df0f12c00a199c2947c3cc",1331,"Nyctalus leisleri",1331,"Nyctalus leisleri","Mammals","1","N","N","Y-HTL","N","","",""
"AT","CON","CON","2ecfaacbd90e366d6c36a3c583ec796a",2555,"Gymnocephalus baloni",2555,"Gymnocephalus baloni","Fish","1","N","Y","Y","N","","",""
"SK","ALP","ALP","2ed6331accf41f419df704f116ee75af",4088,"Tephroseris longifolia ssp. moravica",4088,"Tephroseris longifolia ssp. moravica","Vascular plants","1","N","Y","Y","N","","",""
"DK","ATL","ATL","2ed8055d31674f75816a99a39003f0cf",1309,"Pipistrellus pipistrellus",1309,"Pipistrellus pipistrellus","Mammals","1","N","N","Y-HTL","N","","",""
"DE","CON","CON","2ee5a29d77eba8dbf0f990c521945b90",6169,"Euphydryas maturna",1052,"Hypodryas maturna","Arthropods","1","N","Y","Y-CTC","N","","",""
"FR","MED","MED","2ef2df7aee932ce692a626f8019a57af",1046,"Gomphus graslinii",1046,"Gomphus graslinii","Arthropods","1","N","Y","Y","N","","",""
"IT","MED","MED","2f12d42c8b328a374e58b12c3a8190b1",1791,"Centaurea horrida",1791,"Centaurea horrida","Vascular plants","1","Y","Y","Y","N","","",""
"FR","ALP","ALP","2f2b048ee1e8aa03ad3886c83b512bcd",1557,"Astragalus centralpinus",1557,"Astragalus centralpinus","Vascular plants","1","N","Y","Y","N","","",""
"RO","ALP","ALP","2f61443e641fb9479d5c46cebadc18f4",1316,"Myotis capaccinii",1316,"Myotis capaccinii","Mammals","1","N","Y","Y","N","","",""
"PT","MAC","MAC","2f6f3a428f8559be53ae10aa7c145d3b",1906,"Orchis scopulorum",1906,"Orchis scopulorum","Vascular plants","1","N","N","Y","N","","",""
"FR","CON","CON","2f758cfb3aac47b7414a78d94332f5e7",1131,"Leuciscus souffia",1131,"Leuciscus souffia","Fish","1","N","Y","N","N","","",""
"DE","ALP","ALP","2f82b645dd64b8550f990cbe90e1d4ef",1357,"Martes martes",1357,"Martes martes","Mammals","1","N","N","N","Y","","",""
"PL","CON","CON","2f99b82f8db25ecb41968cb3a037350f",1078,"Callimorpha quadripunctaria",1078,"Callimorpha quadripunctaria","Arthropods","1","Y","Y","N","N","","",""
"BG","CON","CON","2f9e66aaec67d129899479a149a66d04",2617,"Myomimus roachi",2617,"Myomimus roachi","Mammals","1","N","Y","Y","N","","",""
"UK","ATL","ATL","2fa3ff675d971132e25937c0463876bd",1314,"Myotis daubentonii",1314,"Myotis daubentonii","Mammals","1","N","N","Y-HTL","N","","",""
"ES","MATL","MATL","2fa7f31144287623d9b9f33a3d5db2b1",1008,"Centrostephanus longispinus",1008,"Centrostephanus longispinus","Other invertebrates","1","N","N","Y","N","","",""
"BG","ALP","ALP","2fa7fd634131daa3ecfe4e808e9f1f60",1763,"Artemisia eriantha",1763,"Artemisia eriantha","Vascular plants","1","N","N","N","Y","","",""
"BG","CON","CON","2faea4481e8a686ef23d91b79ec1c162",1327,"Eptesicus serotinus",1327,"Eptesicus serotinus","Mammals","1","N","N","Y-HTL","N","","",""
"BE","ATL","ATL","2fb9860513abd5e5e54692bb345c1abf",1324,"Myotis myotis",1324,"Myotis myotis","Mammals","1","N","Y","Y","N","","",""
"PL","CON","CON","2fe0507010cce5160f53a05213301443",1324,"Myotis myotis",1324,"Myotis myotis","Mammals","1","N","Y","Y","N","","",""
"IT","ALP","ALP","2ff47c7775913701ab4db9a8c8c4ed5d",1327,"Eptesicus serotinus",1327,"Eptesicus serotinus","Mammals","1","N","N","Y-HTL","N","","",""
"RO","CON","CON","2ffba29ff6299e86adfd636ee80ab5d4",1248,"Podarcis taurica",1248,"Podarcis taurica","Reptiles","1","N","N","Y","N","","",""
"HU","PAN","PAN","2fff5c7f811cb9235c67108c142db45c",1993,"Triturus dobrogicus",1993,"Triturus dobrogicus","Amphibians","1","N","Y","N","N","","",""
"ES","ATL","ATL","300ec9f8248b49ade29d21e1c1814f3a",1393,"Drepanocladus vernicosus",1393,"Drepanocladus vernicosus","Non-vascular plants","1","N","Y","N","N","","",""
